data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-06,CL,085022,Villalba,37.654142,13.843423,,0,0,13,13,,,24,0,37,,,,,,
2021-03-13,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,26,0,43,,,,,,
2021-03-14,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,26,0,43,,,,,,
2021-03-15,CL,085022,Villalba,37.654142,13.843423,,0,0,18,18,,,26,0,44,,,,,,
2021-03-16,CL,085022,Villalba,37.654142,13.843423,,0,0,18,18,,,26,0,44,,,,,,
2021-03-17,CL,085022,Villalba,37.654142,13.843423,,0,0,18,18,,,26,0,44,,,,,,
2021-03-18,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,27,0,44,,,,,,
2021-03-19,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,27,0,44,,,,,,
2021-03-20,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,27,0,44,,,,,,
2021-03-21,CL,085022,Villalba,37.654142,13.843423,,0,0,17,17,,,27,0,44,,,,,,
2021-03-22,CL,085022,Villalba,37.654142,13.843423,,0,0,15,15,,,29,0,44,,,,,,
2021-03-23,CL,085022,Villalba,37.654142,13.843423,,0,0,15,15,,,29,0,44,,,,,,
2021-03-24,CL,085022,Villalba,37.654142,13.843423,,0,0,14,14,,,30,0,44,,,,,,
2021-03-25,CL,085022,Villalba,37.654142,13.843423,,0,0,14,14,,,30,0,44,,,,,,
2021-03-26,CL,085022,Villalba,37.654142,13.843423,,0,0,10,10,,,34,0,44,,,,,,
2021-03-27,CL,085022,Villalba,37.654142,13.843423,,0,0,10,10,,,34,0,44,,,,,,
2021-03-28,CL,085022,Villalba,37.654142,13.843423,,0,0,10,10,,,34,0,44,,,,,,
2021-03-29,CL,085022,Villalba,37.654142,13.843423,,0,0,10,10,,,34,0,44,,,,,,
2021-03-30,CL,085022,Villalba,37.654142,13.843423,,0,0,11,11,,,34,0,45,,,,,,
2021-03-31,CL,085022,Villalba,37.654142,13.843423,,0,0,11,11,,,34,0,45,,,,,,
2021-04-04,CL,085022,Villalba,37.654142,13.843423,,0,0,8,8,,,38,0,46,,,,,,
2021-04-05,CL,085022,Villalba,37.654142,13.843423,,0,0,8,8,,,38,0,46,,,,,,
2021-04-06,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,38,0,44,,,,,,
2021-04-07,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,38,0,44,,,,,,
2021-04-08,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,38,0,44,,,,,,
2021-04-09,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,38,0,44,,,,,,
2021-04-10,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,38,0,44,,,,,,
2021-04-12,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,39,0,44,,,,,,
2021-04-13,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,39,0,44,,,,,,
2021-04-14,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,39,0,44,,,,,,
2021-04-15,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,41,0,44,,,,,,
2021-04-16,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,41,0,44,,,,,,
2021-04-17,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,41,0,44,,,,,,
2021-04-22,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,41,0,46,,,,,,
2021-04-23,CL,085022,Villalba,37.654142,13.843423,,0,0,6,6,,,42,0,48,,,,,,
2021-04-24,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,43,0,48,,,,,,
2021-04-27,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,43,0,48,,,,,,
2021-04-28,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-04-29,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-04-30,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-05-01,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-05-02,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-05-04,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,44,0,48,,,,,,
2021-05-07,CL,085022,Villalba,37.654142,13.843423,,0,0,5,5,,,45,0,50,,,,,,
2021-05-10,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,47,0,50,,,,,,
2021-05-15,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-16,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-17,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-18,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-19,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-21,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,48,0,50,,,,,,
2021-05-22,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,49,0,50,,,,,,
2021-05-23,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,49,0,50,,,,,,
2021-05-24,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,50,0,50,,,,,,
2021-06-03,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,50,0,50,,,,,,
2021-06-05,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,50,0,50,,,,,,
2021-06-10,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-12,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-17,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-18,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-19,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-21,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-26,CL,085022,Villalba,37.654142,13.843423,,0,0,1,1,,,50,0,51,,,,,,
2021-06-30,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-01,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-02,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-03,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-04,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-06,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-07,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-08,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-09,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-10,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-11,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-12,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-13,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-14,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-15,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-16,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-17,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-18,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-19,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-20,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-21,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-23,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-24,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-25,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-26,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-27,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-28,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-29,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-30,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-07-31,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-01,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-02,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-03,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-04,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-06,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-09,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-10,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-12,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-13,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-14,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-15,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-16,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-17,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-18,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-19,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-20,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-21,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-22,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-23,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-24,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-25,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-28,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-29,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-30,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-08-31,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-01,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-03,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-04,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-05,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-06,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-07,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-08,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-09,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-10,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-11,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-12,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-13,CL,085022,Villalba,37.654142,13.843423,,0,0,0,0,,,51,0,51,,,,,,
2021-09-14,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-15,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-16,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-17,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-18,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-19,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-20,CL,085022,Villalba,37.654142,13.843423,,0,0,2,2,,,51,0,53,,,,,,
2021-09-21,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,51,0,54,,,,,,
2021-09-22,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,51,0,54,,,,,,
2021-09-23,CL,085022,Villalba,37.654142,13.843423,,0,0,3,3,,,51,0,54,,,,,,
2021-09-24,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,51,0,55,,,,,,
2021-09-25,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,51,0,55,,,,,,
2021-09-26,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,51,0,55,,,,,,
2021-09-27,CL,085022,Villalba,37.654142,13.843423,,0,0,4,4,,,52,0,56,,,,,,
