data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085004,Caltanissetta,37.489941,14.063162,,0,18,106,124,,,1044,26,1194,,,,,,
2021-03-02,CL,085004,Caltanissetta,37.489941,14.063162,,0,18,105,123,-1,1,1046,26,1195,,,,,,
2021-03-03,CL,085004,Caltanissetta,37.489941,14.063162,,0,18,108,126,3,11,1054,26,1206,,,,,,
2021-03-04,CL,085004,Caltanissetta,37.489941,14.063162,,0,20,106,126,0,0,1054,26,1206,,,,,,
2021-03-05,CL,085004,Caltanissetta,37.489941,14.063162,,0,20,112,132,6,12,1060,26,1218,,,,,,
2021-03-06,CL,085004,Caltanissetta,37.489941,14.063162,,0,20,114,134,2,9,1067,26,1227,,,,,,
2021-03-07,CL,085004,Caltanissetta,37.489941,14.063162,,0,22,116,138,4,10,1073,26,1237,,,,,,
2021-03-08,CL,085004,Caltanissetta,37.489941,14.063162,,0,24,120,144,6,9,1076,26,1246,,,,,,
2021-03-09,CL,085004,Caltanissetta,37.489941,14.063162,,0,25,119,144,0,6,1082,26,1252,,,,,,
2021-03-10,CL,085004,Caltanissetta,37.489941,14.063162,,0,26,134,160,16,20,1086,26,1272,,,,,,
2021-03-11,CL,085004,Caltanissetta,37.489941,14.063162,,1,24,144,168,8,27,1105,26,1299,,,,,,
2021-03-13,CL,085004,Caltanissetta,37.489941,14.063162,,2,26,183,209,41,53,1117,26,1352,,,,,,
2021-03-14,CL,085004,Caltanissetta,37.489941,14.063162,,3,27,210,237,28,30,1119,26,1382,,,,,,
2021-03-15,CL,085004,Caltanissetta,37.489941,14.063162,,3,28,222,250,13,13,1119,26,1395,,,,,,
2021-03-16,CL,085004,Caltanissetta,37.489941,14.063162,,3,24,248,272,22,34,1131,26,1429,,,,,,
2021-03-17,CL,085004,Caltanissetta,37.489941,14.063162,,3,32,267,299,27,35,1139,26,1464,,,,,,
2021-03-18,CL,085004,Caltanissetta,37.489941,14.063162,,3,34,301,335,36,42,1144,27,1506,,,,,,
2021-03-19,CL,085004,Caltanissetta,37.489941,14.063162,,4,35,340,375,40,47,1151,27,1553,,,,,,
2021-03-20,CL,085004,Caltanissetta,37.489941,14.063162,,4,39,363,402,27,38,1162,27,1591,,,,,,
2021-03-21,CL,085004,Caltanissetta,37.489941,14.063162,,4,45,363,408,6,9,1164,28,1600,,,,,,
2021-03-22,CL,085004,Caltanissetta,37.489941,14.063162,,3,45,402,447,39,42,1167,28,1642,,,,,,
2021-03-23,CL,085004,Caltanissetta,37.489941,14.063162,,3,47,430,477,30,37,1174,28,1679,,,,,,
2021-03-24,CL,085004,Caltanissetta,37.489941,14.063162,,2,49,440,489,12,28,1189,29,1707,,,,,,
2021-03-25,CL,085004,Caltanissetta,37.489941,14.063162,,2,51,481,532,43,46,1192,29,1753,,,,,,
2021-03-26,CL,085004,Caltanissetta,37.489941,14.063162,,3,52,525,577,45,50,1197,29,1803,,,,,,
2021-03-27,CL,085004,Caltanissetta,37.489941,14.063162,,3,53,535,588,11,13,1199,29,1816,,,,,,
2021-03-28,CL,085004,Caltanissetta,37.489941,14.063162,,3,53,555,608,20,21,1200,29,1837,,,,,,
2021-03-29,CL,085004,Caltanissetta,37.489941,14.063162,,3,62,562,624,16,29,1213,29,1866,,,,,,
2021-03-30,CL,085004,Caltanissetta,37.489941,14.063162,,3,64,597,661,37,57,1233,29,1923,,,,,,
2021-03-31,CL,085004,Caltanissetta,37.489941,14.063162,,4,61,611,672,11,26,1248,29,1949,,,,,,
2021-04-04,CL,085004,Caltanissetta,37.489941,14.063162,,6,64,664,728,56,137,1325,33,2086,,,,,,
2021-04-05,CL,085004,Caltanissetta,37.489941,14.063162,,6,63,659,722,-6,6,1336,34,2092,,,,,,
2021-04-06,CL,085004,Caltanissetta,37.489941,14.063162,,6,62,683,745,23,28,1341,34,2120,,,,,,
2021-04-07,CL,085004,Caltanissetta,37.489941,14.063162,,5,55,652,707,-38,21,1399,35,2141,,,,,,
2021-04-08,CL,085004,Caltanissetta,37.489941,14.063162,,5,51,712,763,56,65,1408,35,2206,,,,,,
2021-04-09,CL,085004,Caltanissetta,37.489941,14.063162,,4,48,649,697,-66,16,1490,35,2222,,,,,,
2021-04-10,CL,085004,Caltanissetta,37.489941,14.063162,,4,49,661,710,13,16,1493,35,2238,,,,,,
2021-04-12,CL,085004,Caltanissetta,37.489941,14.063162,,4,54,611,665,-45,29,1566,36,2267,,,,,,
2021-04-13,CL,085004,Caltanissetta,37.489941,14.063162,,4,49,608,657,-8,31,1604,37,2298,,,,,,
2021-04-14,CL,085004,Caltanissetta,37.489941,14.063162,,3,44,585,629,-28,16,1647,38,2314,,,,,,
2021-04-15,CL,085004,Caltanissetta,37.489941,14.063162,,3,43,549,592,-37,12,1696,38,2326,,,,,,
2021-04-16,CL,085004,Caltanissetta,37.489941,14.063162,,2,44,514,558,-34,6,1736,38,2332,,,,,,
2021-04-17,CL,085004,Caltanissetta,37.489941,14.063162,,1,43,482,525,-33,5,1773,39,2337,,,,,,
2021-04-22,CL,085004,Caltanissetta,37.489941,14.063162,,2,37,393,430,-95,94,1962,39,2431,,,,,,
2021-04-23,CL,085004,Caltanissetta,37.489941,14.063162,,2,37,390,427,-3,5,1970,39,2436,,,,,,
2021-04-24,CL,085004,Caltanissetta,37.489941,14.063162,,2,35,380,415,-12,14,1996,39,2450,,,,,,
2021-04-27,CL,085004,Caltanissetta,37.489941,14.063162,,4,34,365,399,-16,20,2032,39,2470,,,,,,
2021-04-28,CL,085004,Caltanissetta,37.489941,14.063162,,2,29,312,341,-58,3,2091,41,2473,,,,,,
2021-04-29,CL,085004,Caltanissetta,37.489941,14.063162,,2,25,308,333,-8,3,2102,41,2476,,,,,,
2021-04-30,CL,085004,Caltanissetta,37.489941,14.063162,,2,25,276,301,-32,4,2138,41,2480,,,,,,
2021-05-01,CL,085004,Caltanissetta,37.489941,14.063162,,2,26,262,288,-13,6,2157,41,2486,,,,,,
2021-05-02,CL,085004,Caltanissetta,37.489941,14.063162,,3,27,250,277,-11,3,2171,41,2489,,,,,,
2021-05-04,CL,085004,Caltanissetta,37.489941,14.063162,,1,22,219,241,-36,15,2221,42,2504,,,,,,
2021-05-07,CL,085004,Caltanissetta,37.489941,14.063162,,1,18,168,186,-55,22,2298,42,2526,,,,,,
2021-05-10,CL,085004,Caltanissetta,37.489941,14.063162,,0,19,135,154,-32,9,2337,44,2535,,,,,,
2021-05-15,CL,085004,Caltanissetta,37.489941,14.063162,,0,17,89,106,-48,12,2397,44,2547,,,,,,
2021-05-16,CL,085004,Caltanissetta,37.489941,14.063162,,0,16,83,99,-7,2,2406,44,2549,,,,,,
2021-05-17,CL,085004,Caltanissetta,37.489941,14.063162,,0,16,80,96,-3,0,2409,44,2549,,,,,,
2021-05-18,CL,085004,Caltanissetta,37.489941,14.063162,,0,16,78,94,-2,3,2414,44,2552,,,,,,
2021-05-19,CL,085004,Caltanissetta,37.489941,14.063162,,0,15,77,92,-2,3,2419,44,2555,,,,,,
2021-05-21,CL,085004,Caltanissetta,37.489941,14.063162,,0,15,67,82,-10,0,2429,44,2555,,,,,,
2021-05-22,CL,085004,Caltanissetta,37.489941,14.063162,,0,12,62,74,-8,0,2437,44,2555,,,,,,
2021-05-23,CL,085004,Caltanissetta,37.489941,14.063162,,0,11,60,71,-3,0,2440,44,2555,,,,,,
2021-05-24,CL,085004,Caltanissetta,37.489941,14.063162,,0,11,61,72,1,1,2440,44,2556,,,,,,
2021-06-03,CL,085004,Caltanissetta,37.489941,14.063162,,0,2,22,24,-48,7,2495,44,2563,,,,,,
2021-06-05,CL,085004,Caltanissetta,37.489941,14.063162,,0,1,16,17,-7,0,2502,44,2563,,,,,,
2021-06-10,CL,085004,Caltanissetta,37.489941,14.063162,,0,1,24,25,8,13,2507,44,2576,,,,,,
2021-06-12,CL,085004,Caltanissetta,37.489941,14.063162,,0,1,32,33,8,9,2508,44,2585,,,,,,
2021-06-17,CL,085004,Caltanissetta,37.489941,14.063162,,0,2,49,51,18,24,2514,44,2609,,,,,,
2021-06-18,CL,085004,Caltanissetta,37.489941,14.063162,,0,2,48,50,-1,0,2515,44,2609,,,,,,
2021-06-19,CL,085004,Caltanissetta,37.489941,14.063162,,0,2,57,59,9,9,2515,44,2618,,,,,,
