data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,1,2,,,60,1,63,,,,,,
2021-03-02,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,-1,0,61,1,63,,,,,,
2021-03-03,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-04,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-05,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-06,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-07,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-08,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-09,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-10,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-11,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,1,1,0,0,61,1,63,,,,,,
2021-03-13,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,1,2,62,1,65,,,,,,
2021-03-14,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,0,0,62,1,65,,,,,,
2021-03-15,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,0,0,62,1,65,,,,,,
2021-03-16,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,0,0,62,1,65,,,,,,
2021-03-17,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,0,0,62,1,65,,,,,,
2021-03-18,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,5,5,62,1,70,,,,,,
2021-03-19,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,0,0,62,1,70,,,,,,
2021-03-20,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,0,0,62,1,70,,,,,,
2021-03-21,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,0,0,62,1,70,,,,,,
2021-03-22,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,0,0,62,1,70,,,,,,
2021-03-23,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,7,7,0,0,62,1,70,,,,,,
2021-03-24,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,8,8,1,1,62,1,71,,,,,,
2021-03-25,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,10,10,2,3,63,1,74,,,,,,
2021-03-26,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,11,11,1,1,63,1,75,,,,,,
2021-03-27,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,11,11,0,0,63,1,75,,,,,,
2021-03-28,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,11,11,0,0,63,1,75,,,,,,
2021-03-29,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,11,11,0,0,63,1,75,,,,,,
2021-03-30,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,14,15,4,4,63,1,79,,,,,,
2021-03-31,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,15,16,1,2,64,1,81,,,,,,
2021-04-04,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,14,16,0,0,64,1,81,,,,,,
2021-04-05,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,12,15,-1,1,66,1,82,,,,,,
2021-04-06,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,13,16,1,1,66,1,83,,,,,,
2021-04-07,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,13,16,0,0,66,1,83,,,,,,
2021-04-08,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,13,16,0,2,68,1,85,,,,,,
2021-04-09,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,-3,0,71,1,85,,,,,,
2021-04-10,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,1,72,1,86,,,,,,
2021-04-12,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,2,74,1,88,,,,,,
2021-04-13,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,0,74,1,88,,,,,,
2021-04-14,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,0,74,1,88,,,,,,
2021-04-15,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,0,74,1,88,,,,,,
2021-04-16,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,0,74,1,88,,,,,,
2021-04-17,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,10,13,0,0,74,1,88,,,,,,
2021-04-22,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,9,11,-2,1,77,1,89,,,,,,
2021-04-23,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,6,8,-3,0,80,1,89,,,,,,
2021-04-24,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,4,6,-2,0,82,1,89,,,,,,
2021-04-27,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,4,19,23,17,18,83,1,107,,,,,,
2021-04-28,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,4,19,23,0,0,83,1,107,,,,,,
2021-04-29,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,4,19,23,0,0,83,1,107,,,,,,
2021-04-30,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,19,22,-1,0,84,1,107,,,,,,
2021-05-01,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,19,22,0,0,84,1,107,,,,,,
2021-05-02,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,19,22,0,0,84,1,107,,,,,,
2021-05-04,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,3,15,18,-4,0,88,1,107,,,,,,
2021-05-07,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,15,17,-1,0,89,1,107,,,,,,
2021-05-10,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,16,18,1,1,89,1,108,,,,,,
2021-05-15,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,12,13,-5,0,94,1,108,,,,,,
2021-05-16,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,12,13,0,0,94,1,108,,,,,,
2021-05-17,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,11,12,-1,0,95,1,108,,,,,,
2021-05-18,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,9,10,-2,0,97,1,108,,,,,,
2021-05-19,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,9,10,0,0,97,1,108,,,,,,
2021-05-21,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,7,8,-2,0,99,1,108,,,,,,
2021-05-22,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,7,8,0,0,99,1,108,,,,,,
2021-05-23,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,7,8,0,0,99,1,108,,,,,,
2021-05-24,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,7,8,0,0,99,1,108,,,,,,
2021-06-03,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,6,6,-2,-1,100,1,107,,,,,,
2021-06-05,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,2,2,-4,0,104,1,107,,,,,,
2021-06-10,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,4,4,2,2,104,1,109,,,,,,
2021-06-12,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,0,26,26,22,22,104,1,131,,,,,,
2021-06-17,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,46,47,21,25,108,1,156,,,,,,
2021-06-18,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,58,59,12,12,108,1,168,,,,,,
2021-06-19,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,60,61,2,2,108,1,170,,,,,,
2021-06-21,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,65,66,5,6,109,1,176,,,,,,
2021-06-26,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,75,77,11,14,112,1,190,,,,,,
2021-06-30,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,64,65,-12,0,124,1,190,,,,,,
2021-07-01,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,58,59,-6,0,130,1,190,,,,,,
2021-07-02,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,57,58,-1,0,131,1,190,,,,,,
2021-07-03,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,41,42,-16,0,147,1,190,,,,,,
2021-07-04,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,40,41,-1,0,148,1,190,,,,,,
2021-07-06,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,25,26,-15,0,163,1,190,,,,,,
2021-07-07,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,1,22,23,-3,0,166,1,190,,,,,,
2021-07-08,CL,085017,Santa Caterina Villarmosa,37.591147,14.036265,,0,2,17,19,-4,2,172,1,192,,,,,,
