data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-14,EN,086016,Regalbuto,37.653547,14.639636,,,0,4,4,4,4,0,0,4,,,,,,
2021-03-15,EN,086016,Regalbuto,37.653547,14.639636,,,0,22,22,18,18,0,0,22,,,,,,
2021-03-16,EN,086016,Regalbuto,37.653547,14.639636,,,0,34,34,12,12,0,0,34,,,,,,
2021-03-17,EN,086016,Regalbuto,37.653547,14.639636,,,0,70,70,36,36,0,0,70,,,,,,
2021-03-19,EN,086016,Regalbuto,37.653547,14.639636,,,0,101,101,31,31,0,0,101,,,,,,
2021-03-20,EN,086016,Regalbuto,37.653547,14.639636,,,1,100,101,0,0,0,0,101,,,,,,
2021-03-21,EN,086016,Regalbuto,37.653547,14.639636,,,1,116,117,16,16,0,0,117,,,,,,
2021-03-22,EN,086016,Regalbuto,37.653547,14.639636,,,2,137,139,22,22,0,0,139,,,,,,
2021-03-23,EN,086016,Regalbuto,37.653547,14.639636,,,2,145,147,8,8,0,0,147,,,,,,
2021-03-24,EN,086016,Regalbuto,37.653547,14.639636,,,2,170,172,25,25,0,0,172,,,,,,
2021-03-25,EN,086016,Regalbuto,37.653547,14.639636,,,2,172,174,2,2,0,0,174,,,,,,
2021-03-26,EN,086016,Regalbuto,37.653547,14.639636,,,2,180,182,8,8,0,0,182,,,,,,
2021-03-27,EN,086016,Regalbuto,37.653547,14.639636,,,3,197,200,18,18,0,0,200,,,,,,
2021-03-28,EN,086016,Regalbuto,37.653547,14.639636,,,4,209,213,13,13,0,0,213,,,,,,
2021-03-29,EN,086016,Regalbuto,37.653547,14.639636,,,4,218,222,9,9,0,0,222,,,,,,
2021-03-30,EN,086016,Regalbuto,37.653547,14.639636,,,4,223,227,5,13,8,0,235,,,,,,
2021-03-31,EN,086016,Regalbuto,37.653547,14.639636,,,3,219,222,-5,5,18,0,240,,,,,,
2021-04-01,EN,086016,Regalbuto,37.653547,14.639636,,,3,224,227,5,12,25,0,252,,,,,,
2021-04-02,EN,086016,Regalbuto,37.653547,14.639636,,,3,224,227,0,6,31,0,258,,,,,,
2021-04-03,EN,086016,Regalbuto,37.653547,14.639636,,,3,218,221,-6,-3,34,0,255,,,,,,
