denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Acquaviva Platani,,,,,,10,,,2021-03-06
Bompensiere,,,,,,18,1,,2021-03-06
Butera,,,3,,,76,,,2021-03-06
Campofranco,,1,,,,40,2,,2021-03-06
Caltanissetta,,19,114,1,,1067,25,1,2021-03-06
Delia,,,12,,,29,,,2021-03-06
Gela,1,10,65,3,,2740,61,,2021-03-06
Marianopoli,,,,,,6,1,,2021-03-06
Mazzarino,,,1,,,191,3,,2021-03-06
Milena,,,12,,,139,5,,2021-03-06
Montedoro,,1,23,,,31,1,,2021-03-06
Mussomeli,1,1,43,,,146,4,1,2021-03-06
Niscemi,,2,74,,,942,19,,2021-03-06
Resuttano,,,,,,54,,,2021-03-06
Riesi,,2,82,1,,140,4,,2021-03-06
San Cataldo,,2,35,,,537,9,,2021-03-06
Santa Caterina Villarmosa,,,1,,,61,1,,2021-03-06
Serradifalco,,,15,,,86,1,,2021-03-06
Sommatino,1,,4,,,46,2,,2021-03-06
Sutera,,,,,,3,,,2021-03-06
Vallelunga Pratameno,,,13,,,21,,,2021-03-06
Villalba,,,13,,,24,,,2021-03-06
altreProvince,,2,,2,14,46,25,,2021-03-06
Acquaviva Platani,,,,,,10,,,2021-03-22
Bompensiere,,,,,,18,1,,2021-03-22
Butera,,,1,,,80,,,2021-03-22
Campofranco,,1,,,,40,2,,2021-03-22
Caltanissetta,3,41,402,1,,1167,27,1,2021-03-22
Delia,1,,14,,,31,,,2021-03-22
Gela,1,7,50,3,,2786,62,,2021-03-22
Marianopoli,,,,,,6,1,,2021-03-22
Mazzarino,,,18,,,192,3,,2021-03-22
Milena,1,1,8,,,142,5,,2021-03-22
Montedoro,1,,24,,,47,2,,2021-03-22
Mussomeli,,1,31,,,168,4,1,2021-03-22
Niscemi,,2,71,,,999,20,,2021-03-22
Resuttano,,,3,,,54,,,2021-03-22
Riesi,,3,55,1,,196,6,,2021-03-22
San Cataldo,,2,39,,,560,9,,2021-03-22
Santa Caterina Villarmosa,,,7,,,62,1,,2021-03-22
Serradifalco,,2,56,,,91,1,,2021-03-22
Sommatino,,,14,,,49,3,,2021-03-22
Sutera,,,1,,,3,,,2021-03-22
Vallelunga Pratameno,,1,15,,,23,,,2021-03-22
Villalba,,,15,,,29,,,2021-03-22
altreProvince,,2,,2,14,46,25,,2021-03-22
Acquaviva Platani,,,,,,10,,,2021-03-24
Bompensiere,,,,,,18,1,,2021-03-24
Butera,,,,,,81,,,2021-03-24
Campofranco,,1,,,,40,2,,2021-03-24
Caltanissetta,2,46,440,1,,1189,28,1,2021-03-24
Delia,1,,14,,,31,,,2021-03-24
Gela,1,6,39,3,,2798,62,,2021-03-24
Marianopoli,,,,,,6,1,,2021-03-24
Mazzarino,,,18,,,192,3,,2021-03-24
Milena,1,,10,,,142,5,,2021-03-24
Montedoro,,,21,,,50,3,,2021-03-24
Mussomeli,,,31,,,169,4,1,2021-03-24
Niscemi,,,69,,,1005,21,,2021-03-24
Resuttano,,,4,,,54,,,2021-03-24
Riesi,,3,39,1,,212,6,,2021-03-24
San Cataldo,,1,40,,,570,9,,2021-03-24
Santa Caterina Villarmosa,,,8,,,62,1,,2021-03-24
Serradifalco,,2,62,,,92,1,,2021-03-24
Sommatino,,,18,,,50,3,,2021-03-24
Sutera,,,1,,,3,,,2021-03-24
Vallelunga Pratameno,,1,14,,,24,,,2021-03-24
Villalba,,,14,,,30,,,2021-03-24
altreProvince,,2,,2,14,46,25,,2021-03-24
Acquaviva Platani,,,,,,10,,,2021-03-25
Bompensiere,,,,,,18,1,,2021-03-25
Butera,,,1,,,81,,,2021-03-25
Campofranco,,1,,,,40,2,,2021-03-25
Caltanissetta,2,48,481,1,,1192,28,1,2021-03-25
Delia,1,,14,,,31,,,2021-03-25
Gela,1,6,40,3,,2800,62,,2021-03-25
Marianopoli,,,,,,6,1,,2021-03-25
Mazzarino,,,18,,,192,3,,2021-03-25
Milena,1,,10,,,142,5,,2021-03-25
Montedoro,,,21,,,50,3,,2021-03-25
Mussomeli,,,28,,,172,4,1,2021-03-25
Niscemi,,,67,,,1007,21,,2021-03-25
Resuttano,,,4,,,54,,,2021-03-25
Riesi,,2,39,1,,214,6,,2021-03-25
San Cataldo,,1,47,,,572,9,,2021-03-25
Santa Caterina Villarmosa,,,10,,,63,1,,2021-03-25
Serradifalco,,2,62,,,92,1,,2021-03-25
Sommatino,,,18,,,50,3,,2021-03-25
Sutera,,,1,,,3,,,2021-03-25
Vallelunga Pratameno,,1,13,,,25,,,2021-03-25
Villalba,,,14,,,30,,,2021-03-25
altreProvince,,2,,2,14,46,25,,2021-03-25
Acquaviva Platani,,,,,,10,,,2021-03-26
Bompensiere,,,,,,18,1,,2021-03-26
Butera,,,1,,,81,,,2021-03-26
Campofranco,,1,,,,40,2,,2021-03-26
Caltanissetta,3,48,525,1,,1197,28,1,2021-03-26
Delia,1,,15,,,31,,,2021-03-26
Gela,1,6,47,3,,2800,62,,2021-03-26
Marianopoli,,,1,,,6,1,,2021-03-26
Mazzarino,,,18,,,192,3,,2021-03-26
Milena,1,,10,,,142,5,,2021-03-26
Montedoro,,1,20,,,50,3,,2021-03-26
Mussomeli,,,24,,,176,4,1,2021-03-26
Niscemi,1,,66,,,1008,21,,2021-03-26
Resuttano,,,9,,,54,,,2021-03-26
Riesi,,2,39,1,,214,6,,2021-03-26
San Cataldo,,1,51,,,572,9,,2021-03-26
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-26
Serradifalco,,3,62,,,92,1,,2021-03-26
Sommatino,,,28,,,50,3,,2021-03-26
Sutera,,,,,,4,,,2021-03-26
Vallelunga Pratameno,,1,9,,,29,,,2021-03-26
Villalba,,,10,,,34,,,2021-03-26
altreProvince,,1,,2,14,47,25,,2021-03-26
Acquaviva Platani,,,,,,10,,,2021-03-27
Bompensiere,,,,,,18,1,,2021-03-27
Butera,,,1,,,81,,,2021-03-27
Campofranco,,1,,,,40,2,,2021-03-27
Caltanissetta,3,49,535,1,,1199,28,1,2021-03-27
Delia,1,,13,,,35,,,2021-03-27
Gela,1,6,41,3,,2810,62,,2021-03-27
Marianopoli,,,1,,,6,1,,2021-03-27
Mazzarino,,,40,,,192,3,,2021-03-27
Milena,1,,6,,,146,5,,2021-03-27
Montedoro,,1,16,,,54,3,,2021-03-27
Mussomeli,,,24,,,176,4,1,2021-03-27
Niscemi,1,,64,,,1013,21,,2021-03-27
Resuttano,,,9,,,54,,,2021-03-27
Riesi,,1,40,1,,214,6,,2021-03-27
San Cataldo,,2,50,,,573,9,,2021-03-27
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-27
Serradifalco,1,2,62,,,92,1,,2021-03-27
Sommatino,,,28,,,50,3,,2021-03-27
Sutera,,,,,,4,,,2021-03-27
Vallelunga Pratameno,,1,7,,,31,,,2021-03-27
Villalba,,,10,,,34,,,2021-03-27
altreProvince,,1,,2,14,47,25,,2021-03-27
Acquaviva Platani,,,,,,10,,,2021-03-28
Bompensiere,,,,,,18,1,,2021-03-28
Butera,,,1,,,81,,,2021-03-28
Campofranco,,1,,,,40,2,,2021-03-28
Caltanissetta,3,49,555,1,,1200,28,1,2021-03-28
Delia,1,,10,,,38,,,2021-03-28
Gela,1,6,57,3,,2811,62,,2021-03-28
Marianopoli,,,1,,,6,1,,2021-03-28
Mazzarino,,,41,,,192,3,,2021-03-28
Milena,1,,2,,,150,5,,2021-03-28
Montedoro,,1,13,,,57,3,,2021-03-28
Mussomeli,,,24,,,176,4,1,2021-03-28
Niscemi,1,,59,,,1020,21,,2021-03-28
Resuttano,,,9,,,54,,,2021-03-28
Riesi,,1,38,1,,216,6,,2021-03-28
San Cataldo,,2,49,,,574,9,,2021-03-28
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-28
Serradifalco,1,2,55,,,102,1,,2021-03-28
Sommatino,,,28,,,50,3,,2021-03-28
Sutera,,,,,,4,,,2021-03-28
Vallelunga Pratameno,,1,7,,,31,,,2021-03-28
Villalba,,,10,,,34,,,2021-03-28
altreProvince,,1,,2,14,47,25,,2021-03-28
Acquaviva Platani,,,,,,10,,,2021-03-29
Bompensiere,,,,,,18,1,,2021-03-29
Butera,,,1,,,81,,,2021-03-29
Campofranco,,1,,,,40,2,,2021-03-29
Caltanissetta,3,58,562,1,,1213,28,1,2021-03-29
Delia,1,,11,,,38,,,2021-03-29
Gela,1,5,57,3,,2811,63,,2021-03-29
Marianopoli,,,1,,,6,1,,2021-03-29
Mazzarino,,,41,,,192,3,,2021-03-29
Milena,1,,2,,,150,5,,2021-03-29
Montedoro,,1,13,,,57,3,,2021-03-29
Mussomeli,,,23,,,177,4,1,2021-03-29
Niscemi,1,,58,,,1021,21,,2021-03-29
Resuttano,,,8,,,55,,,2021-03-29
Riesi,,1,38,1,,216,6,,2021-03-29
San Cataldo,,2,55,,,574,9,,2021-03-29
Santa Caterina Villarmosa,,,11,,,63,1,,2021-03-29
Serradifalco,1,2,58,,,102,1,,2021-03-29
Sommatino,,,29,,,50,3,,2021-03-29
Sutera,,,,,,4,,,2021-03-29
Vallelunga Pratameno,,1,7,,,31,,,2021-03-29
Villalba,,,10,,,34,,,2021-03-29
altreProvince,,1,,2,14,47,25,,2021-03-29
Acquaviva Platani,,,,,,10,,,2021-03-30
Bompensiere,,,,,,18,1,,2021-03-30
Butera,,,1,,,81,,,2021-03-30
Campofranco,,1,,,,40,2,,2021-03-30
Caltanissetta,3,60,597,1,,1233,28,1,2021-03-30
Delia,1,,11,,,39,,,2021-03-30
Gela,1,6,60,3,,2816,63,,2021-03-30
Marianopoli,,,3,,,6,1,,2021-03-30
Mazzarino,,,41,,,192,3,,2021-03-30
Milena,1,,2,,,150,5,,2021-03-30
Montedoro,,1,13,,,57,3,,2021-03-30
Mussomeli,,,8,,,192,4,1,2021-03-30
Niscemi,,,57,,,1023,22,,2021-03-30
Resuttano,,,8,,,55,,,2021-03-30
Riesi,,1,25,1,,229,6,,2021-03-30
San Cataldo,,2,66,,,575,9,,2021-03-30
Santa Caterina Villarmosa,,1,14,,,63,1,,2021-03-30
Serradifalco,2,1,55,,,106,1,,2021-03-30
Sommatino,,,32,,,50,3,,2021-03-30
Sutera,,,,,,4,,,2021-03-30
Vallelunga Pratameno,,1,3,,,35,,,2021-03-30
Villalba,,,11,,,34,,,2021-03-30
altreProvince,,1,,2,14,47,25,,2021-03-30
Acquaviva Platani,,,,,,10,,,2021-03-31
Bompensiere,,,,,,18,1,,2021-03-31
Butera,,,1,,,81,,,2021-03-31
Campofranco,,,,,,41,2,,2021-03-31
Caltanissetta,4,56,611,1,,1248,28,1,2021-03-31
Delia,1,,12,,,39,,,2021-03-31
Gela,1,4,80,3,,2817,63,,2021-03-31
Marianopoli,,,3,,,6,1,,2021-03-31
Mazzarino,,,75,,,192,3,,2021-03-31
Milena,1,,2,,,150,5,,2021-03-31
Montedoro,,1,9,,,61,3,,2021-03-31
Mussomeli,,,8,,,192,4,1,2021-03-31
Niscemi,,,58,,,1023,22,,2021-03-31
Resuttano,,,8,,,55,,,2021-03-31
Riesi,,1,25,1,,229,6,,2021-03-31
San Cataldo,,2,68,,,575,9,,2021-03-31
Santa Caterina Villarmosa,,1,15,,,64,1,,2021-03-31
Serradifalco,2,1,52,,,110,1,,2021-03-31
Sommatino,,,38,,,50,3,,2021-03-31
Sutera,,,,,,4,,,2021-03-31
Vallelunga Pratameno,,1,2,,,36,,,2021-03-31
Villalba,,,11,,,34,,,2021-03-31
altreProvince,,1,,2,14,47,25,,2021-03-31
Acquaviva Platani,,,6,,,10,,,2021-04-04
Bompensiere,,,1,,,18,1,,2021-04-04
Butera,,,4,,,81,,,2021-04-04
Campofranco,,,,,,41,2,,2021-04-04
Caltanissetta,6,57,664,1,,1325,32,1,2021-04-04
Delia,,,12,,,41,1,,2021-04-04
Gela,1,5,105,3,,2822,63,,2021-04-04
Marianopoli,,,6,,,6,1,,2021-04-04
Mazzarino,,,105,,,197,3,,2021-04-04
Milena,,,2,,,150,6,,2021-04-04
Montedoro,,1,8,,,70,3,,2021-04-04
Mussomeli,,,11,,,193,4,1,2021-04-04
Niscemi,,,67,,,1040,22,,2021-04-04
Resuttano,,,8,,,55,,,2021-04-04
Riesi,,1,12,1,,242,6,,2021-04-04
San Cataldo,1,3,86,,,579,9,,2021-04-04
Santa Caterina Villarmosa,,2,14,,,64,1,,2021-04-04
Serradifalco,1,,44,,,120,2,,2021-04-04
Sommatino,,,53,,,54,3,,2021-04-04
Sutera,,,,,,4,,,2021-04-04
Vallelunga Pratameno,,1,,,,38,,,2021-04-04
Villalba,,,8,,,38,,,2021-04-04
altreProvince,1,1,,2,14,47,25,,2021-04-04
Acquaviva Platani,,,6,,,10,,,2021-04-05
Bompensiere,,,1,,,18,1,,2021-04-05
Butera,,,4,,,81,,,2021-04-05
Campofranco,,,,,,41,2,,2021-04-05
Caltanissetta,6,56,659,1,,1336,33,1,2021-04-05
Delia,,1,12,,,41,1,,2021-04-05
Gela,1,5,112,3,,2825,63,,2021-04-05
Marianopoli,,,6,,,6,1,,2021-04-05
Mazzarino,,,119,,,202,3,,2021-04-05
Milena,,,2,,,150,6,,2021-04-05
Montedoro,,1,8,,,70,3,,2021-04-05
Mussomeli,,,12,,,193,4,1,2021-04-05
Niscemi,,,72,,,1042,22,,2021-04-05
Resuttano,,,8,,,55,,,2021-04-05
Riesi,,1,11,1,,243,6,,2021-04-05
San Cataldo,1,4,86,,,579,9,,2021-04-05
Santa Caterina Villarmosa,,3,12,,,66,1,,2021-04-05
Serradifalco,1,,44,,,120,2,,2021-04-05
Sommatino,,,53,,,54,3,,2021-04-05
Sutera,,,,,,4,,,2021-04-05
Vallelunga Pratameno,,1,,,,38,,,2021-04-05
Villalba,,,8,,,38,,,2021-04-05
altreProvince,1,2,,2,14,47,25,,2021-04-05
Acquaviva Platani,,,8,,,10,,,2021-04-06
Bompensiere,,,2,,,18,1,,2021-04-06
Butera,,,4,,,81,,,2021-04-06
Campofranco,,,,,,41,2,,2021-04-06
Caltanissetta,6,55,683,1,,1341,33,1,2021-04-06
Delia,,1,13,,,41,1,,2021-04-06
Gela,1,5,114,3,,2825,63,,2021-04-06
Marianopoli,,,6,,,6,1,,2021-04-06
Mazzarino,,,119,,,202,3,,2021-04-06
Milena,,,2,,,150,6,,2021-04-06
Montedoro,,1,8,,,70,3,,2021-04-06
Mussomeli,,,17,,,195,4,1,2021-04-06
Niscemi,,,69,,,1045,22,,2021-04-06
Resuttano,,,8,,,55,,,2021-04-06
Riesi,,1,10,1,,244,6,,2021-04-06
San Cataldo,1,5,104,,,586,9,,2021-04-06
Santa Caterina Villarmosa,,3,13,,,66,1,,2021-04-06
Serradifalco,1,,40,,,125,2,,2021-04-06
Sommatino,,,53,,,54,3,,2021-04-06
Sutera,,,,,,4,,,2021-04-06
Vallelunga Pratameno,,1,,,,38,,,2021-04-06
Villalba,,,6,,,38,,,2021-04-06
altreProvince,1,3,,2,14,47,25,,2021-04-06
Acquaviva Platani,,,8,,,10,,,2021-04-07
Bompensiere,,,2,,,18,1,,2021-04-07
Butera,,,4,,,81,,,2021-04-07
Campofranco,,,,,,41,2,,2021-04-07
Caltanissetta,5,49,652,1,,1399,34,1,2021-04-07
Delia,,1,13,,,41,1,,2021-04-07
Gela,1,5,161,3,,2826,63,,2021-04-07
Marianopoli,,,6,,,6,1,,2021-04-07
Mazzarino,,,145,,,202,3,,2021-04-07
Milena,,,2,,,151,6,,2021-04-07
Montedoro,,1,9,,,70,3,,2021-04-07
Mussomeli,,,16,,,196,4,1,2021-04-07
Niscemi,,,94,,,1048,22,,2021-04-07
Resuttano,,,8,,,55,,,2021-04-07
Riesi,,1,10,1,,244,6,,2021-04-07
San Cataldo,1,7,106,,,589,9,,2021-04-07
Santa Caterina Villarmosa,,3,13,,,66,1,,2021-04-07
Serradifalco,1,,38,,,127,2,,2021-04-07
Sommatino,,,51,,,58,3,,2021-04-07
Sutera,,,,,,4,,,2021-04-07
Vallelunga Pratameno,,1,,,,38,,,2021-04-07
Villalba,,,6,,,38,,,2021-04-07
altreProvince,1,2,,2,14,47,25,,2021-04-07
Acquaviva Platani,,,8,,,10,,,2021-04-08
Bompensiere,,,2,,,18,1,,2021-04-08
Butera,,,4,,,81,,,2021-04-08
Campofranco,,,1,,,41,2,,2021-04-08
Caltanissetta,5,45,712,1,,1408,34,1,2021-04-08
Delia,,1,13,,,41,1,,2021-04-08
Gela,1,6,168,3,,2827,63,,2021-04-08
Marianopoli,,,6,,,6,1,,2021-04-08
Mazzarino,,,146,,,202,3,,2021-04-08
Milena,,,2,,,151,6,,2021-04-08
Montedoro,,1,9,,,70,3,,2021-04-08
Mussomeli,,,16,,,196,4,1,2021-04-08
Niscemi,,1,101,,,1055,22,,2021-04-08
Resuttano,,,11,,,55,,,2021-04-08
Riesi,,1,8,1,,246,6,,2021-04-08
San Cataldo,1,8,109,,,590,9,,2021-04-08
Santa Caterina Villarmosa,,3,13,,,68,1,,2021-04-08
Serradifalco,1,,39,,,127,2,,2021-04-08
Sommatino,,,51,,,58,3,,2021-04-08
Sutera,,,,,,4,,,2021-04-08
Vallelunga Pratameno,,1,3,,,38,,,2021-04-08
Villalba,,,6,,,38,,,2021-04-08
altreProvince,1,2,,2,14,47,25,,2021-04-08
Acquaviva Platani,,,15,,,10,,,2021-04-09
Bompensiere,,,4,,,18,1,,2021-04-09
Butera,,,5,,,81,,,2021-04-09
Campofranco,,,1,,,41,2,,2021-04-09
Caltanissetta,4,43,649,1,,1490,34,1,2021-04-09
Delia,,1,13,,,41,1,,2021-04-09
Gela,2,6,181,3,,2831,63,,2021-04-09
Marianopoli,,,7,,,6,1,,2021-04-09
Mazzarino,,,145,,,204,3,,2021-04-09
Milena,,,2,,,151,6,,2021-04-09
Montedoro,,2,7,,,71,3,,2021-04-09
Mussomeli,,,23,,,197,4,1,2021-04-09
Niscemi,,1,107,,,1062,22,,2021-04-09
Resuttano,,,11,,,55,,,2021-04-09
Riesi,,1,5,1,,249,6,,2021-04-09
San Cataldo,1,7,107,,,594,9,,2021-04-09
Santa Caterina Villarmosa,,3,10,,,71,1,,2021-04-09
Serradifalco,1,,43,,,134,2,,2021-04-09
Sommatino,,,47,,,62,3,,2021-04-09
Sutera,,,,,,4,,,2021-04-09
Vallelunga Pratameno,,1,2,,,39,,,2021-04-09
Villalba,,,6,,,38,,,2021-04-09
altreProvince,1,2,,2,14,47,25,,2021-04-09
Acquaviva Platani,,,16,,,10,,,2021-04-10
Bompensiere,,,5,,,18,1,,2021-04-10
Butera,,,5,,,81,,,2021-04-10
Campofranco,,,1,,,41,2,,2021-04-10
Caltanissetta,4,44,661,1,,1493,34,1,2021-04-10
Delia,,2,15,,,42,1,,2021-04-10
Gela,2,7,187,3,,2833,63,,2021-04-10
Marianopoli,,,7,,,6,1,,2021-04-10
Mazzarino,,,145,,,204,3,,2021-04-10
Milena,,,2,,,151,6,,2021-04-10
Montedoro,,2,7,,,71,3,,2021-04-10
Mussomeli,,,27,,,197,4,1,2021-04-10
Niscemi,,2,107,,,1062,22,,2021-04-10
Resuttano,,1,10,,,56,,,2021-04-10
Riesi,,1,5,1,,249,6,,2021-04-10
San Cataldo,,9,113,,,597,9,,2021-04-10
Santa Caterina Villarmosa,,3,10,,,72,1,,2021-04-10
Serradifalco,1,,35,,,142,2,,2021-04-10
Sommatino,,,49,,,63,3,,2021-04-10
Sutera,,,,,,4,,,2021-04-10
Vallelunga Pratameno,,1,2,,,39,,,2021-04-10
Villalba,,,6,,,38,,,2021-04-10
altreProvince,1,2,,2,14,47,25,,2021-04-10
Acquaviva Platani,,,16,,,10,,,2021-04-12
Bompensiere,,,4,,,19,1,,2021-04-12
Butera,,,5,,,81,,,2021-04-12
Campofranco,,,1,,,41,2,,2021-04-12
Caltanissetta,4,49,611,1,,1566,35,1,2021-04-12
Delia,,2,14,,,43,1,,2021-04-12
Gela,3,6,223,3,,2843,63,,2021-04-12
Marianopoli,,,8,,,6,1,,2021-04-12
Mazzarino,,,144,,,205,3,,2021-04-12
Milena,,,1,,,152,6,,2021-04-12
Montedoro,,2,7,,,71,3,,2021-04-12
Mussomeli,,,43,,,198,4,1,2021-04-12
Niscemi,,2,128,,,1069,22,,2021-04-12
Resuttano,,1,10,,,57,,,2021-04-12
Riesi,,2,5,1,,249,6,,2021-04-12
San Cataldo,2,6,107,,,608,10,,2021-04-12
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-12
Serradifalco,1,,34,,,147,2,,2021-04-12
Sommatino,,,49,,,63,3,,2021-04-12
Sutera,,,,,,4,,,2021-04-12
Vallelunga Pratameno,,1,2,,,39,,,2021-04-12
Villalba,,,5,,,39,,,2021-04-12
altreProvince,1,3,,2,14,47,25,,2021-04-12
Acquaviva Platani,,,19,,,10,,,2021-04-13
Bompensiere,,,5,,,19,1,,2021-04-13
Butera,,,5,,,81,,,2021-04-13
Campofranco,,,1,,,41,2,,2021-04-13
Caltanissetta,4,44,608,1,,1604,36,1,2021-04-13
Delia,,2,13,,,43,1,,2021-04-13
Gela,3,6,221,3,,2847,63,,2021-04-13
Marianopoli,,,14,,,7,1,,2021-04-13
Mazzarino,,1,144,,,206,3,,2021-04-13
Milena,,,1,,,152,6,,2021-04-13
Montedoro,,2,6,,,72,3,,2021-04-13
Mussomeli,,,55,,,199,4,1,2021-04-13
Niscemi,,3,129,,,1070,22,,2021-04-13
Resuttano,,1,20,,,57,,,2021-04-13
Riesi,,2,3,1,,251,6,,2021-04-13
San Cataldo,2,6,97,,,623,10,,2021-04-13
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-13
Serradifalco,1,,35,,,148,2,,2021-04-13
Sommatino,,,48,,,64,3,,2021-04-13
Sutera,,,,,,4,,,2021-04-13
Vallelunga Pratameno,,1,2,,,39,,,2021-04-13
Villalba,,,5,,,39,,,2021-04-13
altreProvince,1,6,,2,14,47,25,,2021-04-13
Acquaviva Platani,,,19,,,10,,,2021-04-14
Bompensiere,,,5,,,19,1,,2021-04-14
Butera,,,5,,,81,,,2021-04-14
Campofranco,,,1,,,41,2,,2021-04-14
Caltanissetta,3,40,585,1,,1647,37,1,2021-04-14
Delia,,2,15,,,45,1,,2021-04-14
Gela,2,7,242,3,,2847,64,,2021-04-14
Marianopoli,,,27,,,7,1,,2021-04-14
Mazzarino,,1,139,,,225,3,,2021-04-14
Milena,,,1,,,152,6,,2021-04-14
Montedoro,,2,6,,,72,3,,2021-04-14
Mussomeli,,,55,,,199,4,1,2021-04-14
Niscemi,,3,134,,,1071,22,,2021-04-14
Resuttano,,1,20,,,57,,,2021-04-14
Riesi,,2,2,1,,252,6,,2021-04-14
San Cataldo,2,7,105,,,624,10,,2021-04-14
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-14
Serradifalco,1,,35,,,148,2,,2021-04-14
Sommatino,,,46,,,67,3,,2021-04-14
Sutera,,,,,,4,,,2021-04-14
Vallelunga Pratameno,,2,2,,,39,,,2021-04-14
Villalba,,,5,,,39,,,2021-04-14
altreProvince,1,6,,2,14,47,25,,2021-04-14
Acquaviva Platani,,,23,,,10,,,2021-04-15
Bompensiere,,,5,,,19,1,,2021-04-15
Butera,,,5,,,81,,,2021-04-15
Campofranco,,,1,,,41,2,,2021-04-15
Caltanissetta,3,39,549,1,,1696,37,1,2021-04-15
Delia,,2,15,,,45,1,,2021-04-15
Gela,2,10,266,3,,2849,64,,2021-04-15
Marianopoli,,,27,,,7,1,,2021-04-15
Mazzarino,,1,140,,,225,3,,2021-04-15
Milena,,,1,,,152,6,,2021-04-15
Montedoro,,2,8,,,72,3,,2021-04-15
Mussomeli,,1,62,,,199,4,1,2021-04-15
Niscemi,,3,134,,,1073,22,,2021-04-15
Resuttano,,1,20,,,57,,,2021-04-15
Riesi,,2,2,1,,252,6,,2021-04-15
San Cataldo,2,8,105,,,627,10,,2021-04-15
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-15
Serradifalco,1,,35,,,148,2,,2021-04-15
Sommatino,,,46,,,67,3,,2021-04-15
Sutera,,,,,,4,,,2021-04-15
Vallelunga Pratameno,,2,2,,,39,,,2021-04-15
Villalba,,,3,,,41,,,2021-04-15
altreProvince,1,6,,2,14,47,25,,2021-04-15
Acquaviva Platani,,,24,,,10,,,2021-04-16
Bompensiere,,,5,,,19,1,,2021-04-16
Butera,,,5,,,81,,,2021-04-16
Campofranco,,,2,,,41,2,,2021-04-16
Caltanissetta,2,41,514,1,,1736,37,1,2021-04-16
Delia,,2,15,,,45,1,,2021-04-16
Gela,3,7,277,3,,2860,64,,2021-04-16
Marianopoli,,1,25,,,9,1,,2021-04-16
Mazzarino,,1,140,,,225,3,,2021-04-16
Milena,,,1,,,152,6,,2021-04-16
Montedoro,,2,8,,,72,3,,2021-04-16
Mussomeli,,1,73,,,199,4,1,2021-04-16
Niscemi,,4,141,,,1076,22,,2021-04-16
Resuttano,,1,20,,,57,,,2021-04-16
Riesi,,2,1,1,,254,6,,2021-04-16
San Cataldo,2,8,101,,,633,11,,2021-04-16
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-16
Serradifalco,1,,38,,,148,2,,2021-04-16
Sommatino,,,46,,,67,3,,2021-04-16
Sutera,,,,,,4,,,2021-04-16
Vallelunga Pratameno,,2,2,,,39,,,2021-04-16
Villalba,,,3,,,41,,,2021-04-16
altreProvince,1,6,,2,14,47,25,,2021-04-16
Acquaviva Platani,,,26,,,10,,,2021-04-17
Bompensiere,,,5,,,19,1,,2021-04-17
Butera,,,5,,,81,,,2021-04-17
Campofranco,,,2,,,41,2,,2021-04-17
Caltanissetta,1,41,482,1,,1773,38,1,2021-04-17
Delia,,2,13,,,47,1,,2021-04-17
Gela,3,6,299,3,,2861,64,,2021-04-17
Marianopoli,,1,25,,,9,1,,2021-04-17
Mazzarino,,1,128,,,250,3,,2021-04-17
Milena,,,1,,,152,6,,2021-04-17
Montedoro,,1,8,,,73,3,,2021-04-17
Mussomeli,,1,81,,,199,4,1,2021-04-17
Niscemi,,4,144,,,1076,22,,2021-04-17
Resuttano,,1,20,,,57,,,2021-04-17
Riesi,,2,2,1,,254,6,,2021-04-17
San Cataldo,2,8,99,,,641,11,,2021-04-17
Santa Caterina Villarmosa,,3,10,,,74,1,,2021-04-17
Serradifalco,1,,46,,,148,2,,2021-04-17
Sommatino,,,39,,,74,3,,2021-04-17
Sutera,,,,,,4,,,2021-04-17
Vallelunga Pratameno,,2,4,,,39,,,2021-04-17
Villalba,,,3,,,41,,,2021-04-17
altreProvince,1,6,,2,14,47,25,,2021-04-17
Acquaviva Platani,,,31,,,10,,,2021-04-22
Bompensiere,,,5,,,19,1,,2021-04-22
Butera,,,5,,,81,,,2021-04-22
Campofranco,,,3,,,42,2,,2021-04-22
Caltanissetta,2,34,393,1,,1962,38,1,2021-04-22
Delia,,2,14,,,50,1,,2021-04-22
Gela,4,20,454,3,,2904,66,,2021-04-22
Marianopoli,1,2,41,,,11,1,,2021-04-22
Mazzarino,,1,82,,,305,3,,2021-04-22
Milena,,,1,,,153,6,,2021-04-22
Montedoro,,1,5,,,76,3,,2021-04-22
Mussomeli,,1,92,,,203,4,1,2021-04-22
Niscemi,,4,143,,,1107,23,,2021-04-22
Resuttano,,1,17,,,61,,,2021-04-22
Riesi,,2,29,1,,254,6,,2021-04-22
San Cataldo,2,7,85,,,670,11,,2021-04-22
Santa Caterina Villarmosa,,2,9,,,77,1,,2021-04-22
Serradifalco,,,42,,,166,3,,2021-04-22
Sommatino,1,,29,,,85,3,,2021-04-22
Sutera,,,,,,4,,,2021-04-22
