comune_codice_istat,valid,dateTime
082004,true,2021-05-04T23:11:27+02:00
082006,true,2021-05-04T23:11:28+02:00
082023,true,2021-05-04T23:11:29+02:00
082035,true,2021-05-04T23:11:29+02:00
082067,true,2021-05-04T23:11:30+02:00
085018,true,2021-05-04T23:11:32+02:00
086005,true,2021-05-04T23:11:38+02:00
086006,true,2021-05-04T23:11:26+02:00
086016,true,2021-05-04T23:11:22+02:00
086020,true,2021-05-04T23:11:36+02:00
