data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085007,Gela,37.066436,14.250244,,2,18,87,105,,,2712,60,2877,,,,,,
2021-03-02,CL,085007,Gela,37.066436,14.250244,,2,17,87,104,-1,3,2716,60,2880,,,,,,
2021-03-03,CL,085007,Gela,37.066436,14.250244,,2,15,79,94,-10,0,2726,60,2880,,,,,,
2021-03-04,CL,085007,Gela,37.066436,14.250244,,2,15,73,88,-6,0,2732,60,2880,,,,,,
2021-03-05,CL,085007,Gela,37.066436,14.250244,,2,14,68,82,-6,0,2738,60,2880,,,,,,
2021-03-06,CL,085007,Gela,37.066436,14.250244,,1,14,65,79,-3,0,2740,61,2880,,,,,,
2021-03-07,CL,085007,Gela,37.066436,14.250244,,1,13,63,76,-3,0,2743,61,2880,,,,,,
2021-03-08,CL,085007,Gela,37.066436,14.250244,,1,13,55,68,-8,0,2751,61,2880,,,,,,
2021-03-09,CL,085007,Gela,37.066436,14.250244,,1,12,55,67,-1,2,2754,61,2882,,,,,,
2021-03-10,CL,085007,Gela,37.066436,14.250244,,1,12,55,67,0,1,2755,61,2883,,,,,,
2021-03-11,CL,085007,Gela,37.066436,14.250244,,1,10,53,63,-4,-1,2757,62,2882,,,,,,
2021-03-13,CL,085007,Gela,37.066436,14.250244,,1,10,53,63,0,4,2761,62,2886,,,,,,
2021-03-14,CL,085007,Gela,37.066436,14.250244,,1,10,54,64,1,1,2761,62,2887,,,,,,
2021-03-15,CL,085007,Gela,37.066436,14.250244,,1,10,53,63,-1,4,2766,62,2891,,,,,,
2021-03-16,CL,085007,Gela,37.066436,14.250244,,1,8,55,63,0,2,2768,62,2893,,,,,,
2021-03-17,CL,085007,Gela,37.066436,14.250244,,1,8,54,62,-1,4,2773,62,2897,,,,,,
2021-03-18,CL,085007,Gela,37.066436,14.250244,,1,9,52,61,-1,4,2778,62,2901,,,,,,
2021-03-19,CL,085007,Gela,37.066436,14.250244,,1,10,51,61,0,2,2780,62,2903,,,,,,
2021-03-20,CL,085007,Gela,37.066436,14.250244,,1,10,56,66,5,6,2781,62,2909,,,,,,
2021-03-21,CL,085007,Gela,37.066436,14.250244,,1,10,52,62,-4,0,2785,62,2909,,,,,,
2021-03-22,CL,085007,Gela,37.066436,14.250244,,1,11,50,61,-1,0,2786,62,2909,,,,,,
2021-03-23,CL,085007,Gela,37.066436,14.250244,,1,11,50,61,0,0,2786,62,2909,,,,,,
2021-03-24,CL,085007,Gela,37.066436,14.250244,,1,10,39,49,-12,0,2798,62,2909,,,,,,
2021-03-25,CL,085007,Gela,37.066436,14.250244,,1,10,40,50,1,3,2800,62,2912,,,,,,
2021-03-26,CL,085007,Gela,37.066436,14.250244,,1,10,47,57,7,7,2800,62,2919,,,,,,
2021-03-27,CL,085007,Gela,37.066436,14.250244,,1,10,41,51,-6,4,2810,62,2923,,,,,,
2021-03-28,CL,085007,Gela,37.066436,14.250244,,1,10,57,67,16,17,2811,62,2940,,,,,,
