data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085016,San Cataldo,37.491446,13.993516,,0,3,35,38,,,526,9,573,,,,,,
2021-03-02,CL,085016,San Cataldo,37.491446,13.993516,,0,3,33,36,-2,0,528,9,573,,,,,,
2021-03-03,CL,085016,San Cataldo,37.491446,13.993516,,0,2,33,35,-1,3,532,9,576,,,,,,
2021-03-04,CL,085016,San Cataldo,37.491446,13.993516,,0,2,32,34,-1,0,533,9,576,,,,,,
2021-03-05,CL,085016,San Cataldo,37.491446,13.993516,,0,2,32,34,0,2,535,9,578,,,,,,
2021-03-06,CL,085016,San Cataldo,37.491446,13.993516,,0,2,35,37,3,5,537,9,583,,,,,,
2021-03-07,CL,085016,San Cataldo,37.491446,13.993516,,0,2,34,36,-1,0,538,9,583,,,,,,
2021-03-08,CL,085016,San Cataldo,37.491446,13.993516,,0,2,35,37,1,1,538,9,584,,,,,,
2021-03-09,CL,085016,San Cataldo,37.491446,13.993516,,0,2,35,37,0,2,540,9,586,,,,,,
2021-03-10,CL,085016,San Cataldo,37.491446,13.993516,,0,2,35,37,0,0,540,9,586,,,,,,
2021-03-11,CL,085016,San Cataldo,37.491446,13.993516,,0,3,30,33,-4,0,544,9,586,,,,,,
2021-03-13,CL,085016,San Cataldo,37.491446,13.993516,,0,4,27,31,-2,0,546,9,586,,,,,,
2021-03-14,CL,085016,San Cataldo,37.491446,13.993516,,0,4,31,35,4,4,546,9,590,,,,,,
2021-03-15,CL,085016,San Cataldo,37.491446,13.993516,,0,4,31,35,0,0,546,9,590,,,,,,
2021-03-16,CL,085016,San Cataldo,37.491446,13.993516,,0,4,31,35,0,1,547,9,591,,,,,,
2021-03-17,CL,085016,San Cataldo,37.491446,13.993516,,0,4,26,30,-5,2,554,9,593,,,,,,
2021-03-18,CL,085016,San Cataldo,37.491446,13.993516,,0,2,29,31,1,3,556,9,596,,,,,,
2021-03-19,CL,085016,San Cataldo,37.491446,13.993516,,0,2,29,31,0,0,556,9,596,,,,,,
2021-03-20,CL,085016,San Cataldo,37.491446,13.993516,,0,2,35,37,6,9,559,9,605,,,,,,
2021-03-21,CL,085016,San Cataldo,37.491446,13.993516,,0,2,39,41,4,5,560,9,610,,,,,,
2021-03-22,CL,085016,San Cataldo,37.491446,13.993516,,0,2,39,41,0,0,560,9,610,,,,,,
2021-03-23,CL,085016,San Cataldo,37.491446,13.993516,,0,2,44,46,5,8,563,9,618,,,,,,
2021-03-24,CL,085016,San Cataldo,37.491446,13.993516,,0,1,40,41,-5,2,570,9,620,,,,,,
2021-03-25,CL,085016,San Cataldo,37.491446,13.993516,,0,1,47,48,7,9,572,9,629,,,,,,
2021-03-26,CL,085016,San Cataldo,37.491446,13.993516,,0,1,51,52,4,4,572,9,633,,,,,,
2021-03-27,CL,085016,San Cataldo,37.491446,13.993516,,0,2,50,52,0,1,573,9,634,,,,,,
2021-03-28,CL,085016,San Cataldo,37.491446,13.993516,,0,2,49,51,-1,0,574,9,634,,,,,,
2021-03-29,CL,085016,San Cataldo,37.491446,13.993516,,0,2,55,57,6,6,574,9,640,,,,,,
2021-03-30,CL,085016,San Cataldo,37.491446,13.993516,,0,2,66,68,11,12,575,9,652,,,,,,
2021-03-31,CL,085016,San Cataldo,37.491446,13.993516,,0,2,68,70,2,2,575,9,654,,,,,,
2021-04-04,CL,085016,San Cataldo,37.491446,13.993516,,1,4,86,90,20,24,579,9,678,,,,,,
2021-04-05,CL,085016,San Cataldo,37.491446,13.993516,,1,5,86,91,1,1,579,9,679,,,,,,
2021-04-06,CL,085016,San Cataldo,37.491446,13.993516,,1,6,104,110,19,26,586,9,705,,,,,,
2021-04-07,CL,085016,San Cataldo,37.491446,13.993516,,1,8,106,114,4,7,589,9,712,,,,,,
2021-04-08,CL,085016,San Cataldo,37.491446,13.993516,,1,9,109,118,4,5,590,9,717,,,,,,
2021-04-09,CL,085016,San Cataldo,37.491446,13.993516,,1,8,107,115,-3,1,594,9,718,,,,,,
2021-04-10,CL,085016,San Cataldo,37.491446,13.993516,,0,9,113,122,7,10,597,9,728,,,,,,
2021-04-12,CL,085016,San Cataldo,37.491446,13.993516,,2,8,107,115,-7,5,608,10,733,,,,,,
2021-04-13,CL,085016,San Cataldo,37.491446,13.993516,,2,8,97,105,-10,5,623,10,738,,,,,,
2021-04-14,CL,085016,San Cataldo,37.491446,13.993516,,2,9,105,114,9,10,624,10,748,,,,,,
2021-04-15,CL,085016,San Cataldo,37.491446,13.993516,,2,10,105,115,1,4,627,10,752,,,,,,
2021-04-16,CL,085016,San Cataldo,37.491446,13.993516,,2,10,101,111,-4,3,633,11,755,,,,,,
2021-04-17,CL,085016,San Cataldo,37.491446,13.993516,,2,10,99,109,-2,6,641,11,761,,,,,,
2021-04-22,CL,085016,San Cataldo,37.491446,13.993516,,2,9,85,94,-15,14,670,11,775,,,,,,
2021-04-23,CL,085016,San Cataldo,37.491446,13.993516,,2,9,85,94,0,1,671,11,776,,,,,,
2021-04-24,CL,085016,San Cataldo,37.491446,13.993516,,2,9,80,89,-5,2,678,11,778,,,,,,
2021-04-27,CL,085016,San Cataldo,37.491446,13.993516,,3,10,77,87,-2,8,688,11,786,,,,,,
2021-04-28,CL,085016,San Cataldo,37.491446,13.993516,,3,11,69,80,-7,4,699,11,790,,,,,,
2021-04-29,CL,085016,San Cataldo,37.491446,13.993516,,2,10,66,76,-4,1,703,12,791,,,,,,
2021-04-30,CL,085016,San Cataldo,37.491446,13.993516,,2,9,64,73,-3,2,708,12,793,,,,,,
2021-05-01,CL,085016,San Cataldo,37.491446,13.993516,,2,9,60,69,-4,3,715,12,796,,,,,,
2021-05-02,CL,085016,San Cataldo,37.491446,13.993516,,2,9,62,71,2,2,715,12,798,,,,,,
2021-05-04,CL,085016,San Cataldo,37.491446,13.993516,,2,9,61,70,-1,6,722,12,804,,,,,,
2021-05-07,CL,085016,San Cataldo,37.491446,13.993516,,1,8,45,53,-17,4,742,13,808,,,,,,
2021-05-10,CL,085016,San Cataldo,37.491446,13.993516,,0,6,36,42,-11,0,752,14,808,,,,,,
2021-05-15,CL,085016,San Cataldo,37.491446,13.993516,,0,2,25,27,-15,1,767,15,809,,,,,,
2021-05-16,CL,085016,San Cataldo,37.491446,13.993516,,0,2,20,22,-5,0,772,15,809,,,,,,
2021-05-17,CL,085016,San Cataldo,37.491446,13.993516,,0,2,20,22,0,0,772,15,809,,,,,,
2021-05-18,CL,085016,San Cataldo,37.491446,13.993516,,0,2,16,18,-4,0,776,15,809,,,,,,
2021-05-19,CL,085016,San Cataldo,37.491446,13.993516,,0,2,15,17,-1,0,777,15,809,,,,,,
2021-05-21,CL,085016,San Cataldo,37.491446,13.993516,,0,2,11,13,-4,0,781,15,809,,,,,,
2021-05-22,CL,085016,San Cataldo,37.491446,13.993516,,0,1,9,10,-3,0,784,15,809,,,,,,
2021-05-23,CL,085016,San Cataldo,37.491446,13.993516,,0,1,8,9,-1,0,785,15,809,,,,,,
2021-05-24,CL,085016,San Cataldo,37.491446,13.993516,,0,1,8,9,0,1,786,15,810,,,,,,
2021-06-03,CL,085016,San Cataldo,37.491446,13.993516,,0,0,3,3,-6,2,794,15,812,,,,,,
